Style Data,Version,Number of Vulnerabilities,Vulnerabilities Details
2.16.x,2.16.0,2,2 vulnerabilities
2.15.x,2.15.0,3,3 vulnerabilities
2.14.x,2.14.1,4,4 vulnerabilities
2.13.x,2.13.3,4,4 vulnerabilities
2.12.x,2.12.4,2,2 vulnerabilities
2.11.x,2.11.2,5,5 vulnerabilities
2.10.x,2.10.0,5,5 vulnerabilities
2.9.x,2.9.1,5,5 vulnerabilities
2.8.x,2.8.2,5,5 vulnerabilities
2.7.x,2.7,6,6 vulnerabilities
2.6.x,2.6.2,6,6 vulnerabilities
2.5.x,2.5,6,6 vulnerabilities
2.4.x,2.4.1,6,6 vulnerabilities
2.3.x,2.3.2,3,3 vulnerabilities
2.2.x,2.2,6,6 vulnerabilities
2.1.x,2.1,6,6 vulnerabilities
2.0.x,2.0.2,6,6 vulnerabilities
